hostname,https_active,error_type,https_status_code,https_status_text,ssl_issuer,ssl_common_name,ssl_valid_from,ssl_valid_until,ssl_key_algorithm,ssl_key_size_bits,ssl_cipher_suite,tls_version
portal.acme-corp.com,TRUE,,200,OK,DigiCert Global CA G2,portal.acme-corp.com,2026-01-30,2027-01-30,RSA,4096,TLS_AES_256_GCM_SHA384,TLSv1.3
api.acme-corp.com,TRUE,,200,OK,Let's Encrypt R3,api.acme-corp.com,2026-02-14,2027-02-14,EC,384,TLS_AES_128_GCM_SHA256,TLSv1.3
shop.globalretail.net,TRUE,,200,OK,Sectigo RSA CA,shop.globalretail.net,2026-03-01,2027-03-01,RSA,2048,TLS_CHACHA20_POLY1305_SHA256,TLSv1.3
intranet.bigbank.io,TRUE,,200,OK,Entrust CA L1K,intranet.bigbank.io,2025-12-31,2026-12-31,RSA,4096,TLS_AES_256_GCM_SHA384,TLSv1.3
secure.healthportal.org,TRUE,,200,OK,GlobalSign GCC R6,secure.healthportal.org,2026-03-16,2027-03-16,EC,256,TLS_AES_256_GCM_SHA384,TLSv1.3
vpn.enterprise-hq.com,TRUE,,200,OK,Comodo CA Ltd,vpn.enterprise-hq.com,2026-03-11,2027-03-11,RSA,3072,TLS_AES_128_GCM_SHA256,TLSv1.3
dashboard.saasplatform.io,TRUE,,200,OK,Amazon Root CA 1,dashboard.saasplatform.io,2026-03-21,2027-03-21,EC,384,TLS_CHACHA20_POLY1305_SHA256,TLSv1.3
erp.manufacturing-co.com,TRUE,,200,OK,DigiCert TLS CA,erp.manufacturing-co.com,2026-01-10,2027-01-10,RSA,2048,TLS_AES_256_GCM_SHA384,TLSv1.3
auth.cloudsvc.net,TRUE,,200,OK,Let's Encrypt R3,auth.cloudsvc.net,2026-03-26,2027-03-26,EC,256,TLS_AES_128_GCM_SHA256,TLSv1.3
mail.corporategroup.com,TRUE,,200,OK,Sectigo ECC CA,mail.corporategroup.com,2026-02-19,2027-02-19,EC,384,TLS_AES_256_GCM_SHA384,TLSv1.3
legacy-app.intranet.local,TRUE,,200,OK,Internal CA v2,legacy-app.intranet.local,2025-12-21,2026-12-21,RSA,2048,ECDHE-RSA-AES256-GCM-SHA384,TLSv1.2
crm.salesforce-mirror.com,TRUE,,200,OK,DigiCert Global CA,crm.salesforce-mirror.com,2026-02-04,2027-02-04,RSA,2048,ECDHE-RSA-AES128-GCM-SHA256,TLSv1.2
reporting.bi-platform.net,TRUE,,200,OK,GlobalSign CA,reporting.bi-platform.net,2026-01-20,2027-01-20,EC,256,ECDHE-ECDSA-AES256-GCM-SHA384,TLSv1.2
files.docmgmt-sys.com,TRUE,,200,OK,Entrust CA G4,files.docmgmt-sys.com,2026-03-06,2027-03-06,RSA,2048,ECDHE-RSA-AES256-GCM-SHA384,TLSv1.2
payments.fintech-app.io,TRUE,,200,OK,Comodo DV CA,payments.fintech-app.io,2026-02-24,2027-02-24,RSA,4096,ECDHE-RSA-AES128-GCM-SHA256,TLSv1.2
webmail.corp-internal.com,TRUE,,200,OK,Let's Encrypt R3,webmail.corp-internal.com,2025-04-30,2026-04-25,RSA,2048,TLS_AES_256_GCM_SHA384,TLSv1.3
monitor.opsplatform.net,TRUE,,200,OK,ZeroSSL CA,monitor.opsplatform.net,2025-04-15,2026-04-15,EC,256,TLS_AES_128_GCM_SHA256,TLSv1.3
